Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10114","CVE-1999-0524","0.0","None","10.10.10.234","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The difference between the local and remote clocks is -20 seconds.
","","0.0","","","None","","CWE:200","","1999/08/01","2019/10/04","","",""
"10267","","","None","10.10.10.234","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_8.4p1 Debian-5
SSH supported authentication : publickey,password
","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2020/09/22","","",""
"10287","","","None","10.10.10.234","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.10.10.100 to 10.10.10.234 : 
10.10.10.100
10.10.10.234

Hop Count: 1
","","","","","None","","","","1999/11/27","2020/08/20","","",""
"10881","","","None","10.10.10.234","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
","","","","","None","","","","2002/03/06","2021/01/19","","",""
"11936","","","None","10.10.10.234","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 5.10.0-kali8-amd64
Confidence level : 99
Method : uname

 
The remote host is running Linux Kernel 5.10.0-kali8-amd64","","","","","None","","","","2003/12/09","2021/05/12","","",""
"12634","","","None","10.10.10.234","tcp","0","Authenticated Check : OS Name and Installed Package Enumeration","This plugin gathers information about the remote host via an
authenticated session.","This plugin logs into the remote host using SSH, RSH, RLOGIN, Telnet,
or local commands and extracts the list of installed packages.

If using SSH, the scan should be configured with a valid SSH public
key and possibly an SSH passphrase (if the SSH public key is protected
by a passphrase).","n/a","","It was possible to log into the remote host using the supplied
password.

Note, though, that an attempt to elevate privileges using 'sudo' failed
for an unknown reason. Further commands will be run as the user
specified in the scan policy.

The output of ""uname -a"" is :
Linux kali 5.10.0-kali8-amd64 #1 SMP Debian 5.10.40-1kali1 (2021-05-31) x86_64 GNU/Linux

Local security checks have NOT been enabled because the remote Linux
distribution is not supported.","","","","","None","","","","2004/07/06","2021/06/24","","",""
"14272","","","None","10.10.10.234","tcp","22","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 22/tcp was found to be open","","","","","None","","","","2004/08/15","2020/06/12","","",""
"14788","","","None","10.10.10.234","tcp","0","IP Protocols Scan","This plugin detects the protocols understood by the remote IP stack.","This plugin detects the protocols understood by the remote IP stack.","n/a","http://www.iana.org/assignments/protocol-numbers/protocol-numbers.xhtml","The following IP protocols are accepted on this host:
1	ICMP
2	IGMP
6	TCP
17	UDP
103	PIM
136	UDPLite
","","","","","None","","","","2004/09/22","2019/03/06","","",""
"19506","","","None","10.10.10.234","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 8.15.0
Nessus build : 20271
Plugin feed version : 202106260143
Scanner edition used : Nessus Home
Scanner OS : WINDOWS
Scanner distribution : win-x86-64
Scan type : Normal
Scan name : Kali-OOTB-Internal
Scan policy used : Advanced Scan
Scanner IP : 10.10.10.100
Port scanner(s) : netstat 
Port range : all
Ping RTT : Unavailable
Thorough tests : yes
Experimental tests : no
Paranoia level : 2
Report verbosity : 2
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin launched)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 5
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2021/6/26 17:23 Eastern Standard Time
Scan duration : 1028 sec
","","","","","None","","","","2005/08/26","2021/06/17","","",""
"20094","","","None","10.10.10.234","tcp","0","VMware Virtual Machine Detection","The remote host is a VMware virtual machine.","According to the MAC address of its network adapter, the remote host
is a VMware virtual machine.","Since it is physically accessible through the network, ensure that its
configuration matches your organization's security policy.","","
The remote host is a VMware virtual machine.
","","","","","None","","","","2005/10/27","2019/12/11","","",""
